Nome;Latitude;Longitude
Inova Car Funilaria E Pintura;-18,6169903;-46,5145125
Pires Nucleo De Reparacao Automotiva;-21,2134949;-50,456452
Jn Funilaria E Pintura;-23,6375045;-46,6917385
Auto Center Oficina Podium;-15,8692873;-48,0261144
Rc Prime;-23,52579967;-46,76481771
Hold Car - Funilaria E Pintura Automotiva;-20,4888256;-54,6095977
A3 Express - Mecânica E Funilaria;-25,4225928;-49,1913791
Impacto Lanternagem E Pintura;-7,2128255;-35,8950361
Auto Palace;-20,2560957;-42,0334316
Dmg Lataria E Pintura;-25,4818717;-49,2538913
Ducar Reparos Automotivos;-23,4901279;-46,6444369
Toque Retoque;-12,9924039;-38,5016841
Auto Center Nacional;-20,3423374;-40,3115047
Carfix Express Pintura Automotiva;-15,8444633;-48,0312317
Funilaria E Pintura Central;-20,8056595;-51,6831805
Tc Car Servicos Automotivo;-23,9405707;-46,3212483
Oficina Almeida Lanternagem E Pintura;-20,36047;-40,3535758
Oficina Nova Jerusalem;-21,7609617;-41,3080473
Autoser;-29,6799072;-51,1383231
New Car Lanternagem E Pintura;-16,0709364;-47,9905713
Campeças Lanternagem E Pintura;-15,7939689;-47,9388424
Sato Funilaria Express;-23,6272161;-46,636897
Tronis Car Serviços Automotivos;-23,6364594;-46,5657758
Auto Master;-5,0799263;-42,7803736
Reis Detayler;-17,770068;-50,9255014
Stetcar - Centro De Reparacao Automotivo;-16,6689226;-49,2705043
Lanternagem E Pintura Gentil;-19,9578197;-44,1389418
Auto Crt;-15,793521;47,970452
Auto Reflexo Funilaria E Pintura;-23,49553272;-46,8833154
Hot Wilson - Latoaria E Pintura;-27,1282222;-48,8931861
Bonneville;-23,6686444;-46,7229202
Reicar Reparadora De Veículos;-24,0114422;-46,4431684
Auto Inova Chapeação e Pintura;-30,0270315;-51,0715221
Lataria E Pintura Dias Car;-25,5304255;-49,2083111
Bazucar;-24,0029973;-46,4246281
Irmãos Bazoni;-20,8388903;-41,1582161
Tcc Chapeacao E Pintura;-24,7133114;-53,7382941
Car System Reparação Automotiva;-30,0020861;-51,1992698
Oficina União;-19,5147703;-40,6436539
Centro Automotivo 2001;-22,6978526;-46,9848151
Hp Serviços;-10,1917559;-48,3384971
Dauto Car Funilaria E Pintura;-24,0362564;-52,3793031
Auto Brite Revitalização Automotiva;-23,5172228;-47,4856697
Oficina Kaizen;-23,5149936;-46,4877649
Br Auto Service;-5,8102726;-35,2286208
PRIME FUNILARIA & PINTURA;-17,2373609;-46,8584416
Esteticar Centro De Reparo Automotivo;-22,908083;-43,2787196
Vipcar - Reparação Automotiva;-16,6300133;-49,2845271
Maquinaria;-26,8994338;-48,7178122
Oficina Krau Top;0,0528547;-51,0517839
Mf Lanternagem E Funilaria;-20,684868;-43,7893785
Attack Estética Automotiva;-23,6083841;-46,7448269
Personal Checkup Bosch Service;-19,919052;-43,9386685
Salvacar Centro Automotivo;-14,7938166;-39,2777219
Modelo Recuperadora De Autos;-15,8096364;-48,0711313
Gregoruci;-21,1339736;-47,9855799
Pick Up Center Car;-15,6301949;-56,1062749
Garagem Centro De Estetica E Reparos Automotivos;-23,4249628;-46,3628579
Andrade Auto Center;-22,5596397;-47,4013368
Autocar Lanternagem E Pintura;-22,4905589;-44,0921688
Santauto Reparação;-29,7053172;-53,7167811
Magicar Lataria E Pintura;-26,5124466;-49,113453
Auto Polo;-22,4480037;-43,1445981
Lataria & Cia;-28,6936987;-49,3911012
Lider;2,8399197;-60,7247042
Highlight Auto Service;-23,5937357;-46,6013237
Aspectcar - Funilaria E Pintura;-20,8248526;-49,37547
Santa Rita Veiculos E Servicos;-23,5375444;-46,5710461
Automotiva Funilaria E Pintura;-21,2710962;-44,9771177
Kmar Centro Tecnico Automotivo;-23,715527;-46,421286
Vertice Top Repair;-23,2105503;-46,8861959
Rg Car Premium;-24,9215179;-53,4422922
Advance Reparações Automotivas;-24,951986;-53,4437694
Rp Auto Servico - Funiliaria E Pintura;-16,4533673;-54,6487457
Maquinaria Expressa;-27,5880128;-48,6205647
Volare Servicos Automotivos;-23,595171;-46,839816
Real Solucoes Automotivas;-15,8257615;-47,9569234
H- Centro Niterói;-22,905178;-43,0877631
Oficina Martelinho De Ouro;-12,252988;-38,9327425
Carlão De Santos Auto;-23,9588492;-46,3111238
Centro Automotivo Adrifer;-25,3549111;-51,483878
Nova Gf Multi - Service;-17,5635333;-52,552764
Renovacar - Martelinho De Ouro;-26,071544;-53,0780576
Irmãos Hartman - Lataria E Pintura;-25,4491043;-49,5353449
Valdecir Pinturas Automotivas;-30,2506438;-54,9168741
Concetto Reparação Automotiva;-23,551432;-46,2546196
Oficina Nova Car;-22,8848976;-43,0796678
Dukar Auto Center;-12,9685503;-38,4221018
Economica Auto Center;-3,7431603;-38,525553
Repair Solution;-23,5240707;-46,6441005
New Fenix;-23,5186428;-46,7946713
Nosso Carro Centro Automotivo;-10,9186258;-37,0811154
Oficina Do Jura Funilaria E Pintura;-22,6653104;-50,4259803
Ajr Servicos Automotivos;-23,6401633;-46,7194462
Bg Reparadora Automotiva;-29,1697817;-51,5260143
Inova Car Funilaria E Pintura;-5,9192211;-35,2722232
Romma Universo Automotivos Ltda;-23,5107644;-46,6619341
Tk Garage Serviços Automotivos;-23,5425713;-46,674053
